ano,dia,numero,variacao,parte,page,x_pt,y_pt,w_pt,h_pt,image_path
2019,1,8,1,1,6,0.00,67.76,283.46,711.77,questoes/banco_reais/enem_2019/dia1_questoes_vazias_imagens/images/q008_v01_p06_part01.png
2019,1,22,1,1,12,0.00,67.76,283.46,333.35,questoes/banco_reais/enem_2019/dia1_questoes_vazias_imagens/images/q022_v01_p12_part01.png
2019,1,23,1,1,12,0.00,399.12,283.46,380.41,questoes/banco_reais/enem_2019/dia1_questoes_vazias_imagens/images/q023_v01_p12_part01.png
2019,1,28,1,1,14,0.00,67.76,283.46,396.52,questoes/banco_reais/enem_2019/dia1_questoes_vazias_imagens/images/q028_v01_p14_part01.png
2019,1,34,1,1,16,0.00,67.76,283.46,411.75,questoes/banco_reais/enem_2019/dia1_questoes_vazias_imagens/images/q034_v01_p16_part01.png
2019,1,50,1,1,22,0.00,67.76,283.46,344.19,questoes/banco_reais/enem_2019/dia1_questoes_vazias_imagens/images/q050_v01_p22_part01.png
2019,1,61,1,1,25,0.00,67.76,283.46,407.84,questoes/banco_reais/enem_2019/dia1_questoes_vazias_imagens/images/q061_v01_p25_part01.png
2019,1,65,1,1,26,0.00,67.76,283.46,314.39,questoes/banco_reais/enem_2019/dia1_questoes_vazias_imagens/images/q065_v01_p26_part01.png
2019,1,66,1,1,26,0.00,380.15,283.46,399.38,questoes/banco_reais/enem_2019/dia1_questoes_vazias_imagens/images/q066_v01_p26_part01.png
2019,1,69,1,1,27,0.00,67.76,283.46,291.39,questoes/banco_reais/enem_2019/dia1_questoes_vazias_imagens/images/q069_v01_p27_part01.png
2019,1,73,1,1,28,0.00,67.76,283.46,332.19,questoes/banco_reais/enem_2019/dia1_questoes_vazias_imagens/images/q073_v01_p28_part01.png
2019,1,76,1,1,28,283.46,382.56,283.46,396.97,questoes/banco_reais/enem_2019/dia1_questoes_vazias_imagens/images/q076_v01_p28_part01.png
2019,1,77,1,1,29,0.00,67.76,283.46,420.19,questoes/banco_reais/enem_2019/dia1_questoes_vazias_imagens/images/q077_v01_p29_part01.png
2019,1,82,1,1,30,0.00,67.76,283.46,406.59,questoes/banco_reais/enem_2019/dia1_questoes_vazias_imagens/images/q082_v01_p30_part01.png
2019,1,86,1,1,31,0.00,67.76,283.46,272.19,questoes/banco_reais/enem_2019/dia1_questoes_vazias_imagens/images/q086_v01_p31_part01.png
