concept_id,depends_on,strength,reason
ch_h10_ciencias_humanas_geral,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h10_sociologia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h11_ciencias_humanas_geral,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h11_filosofia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h11_geografia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h11_historia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h12_ciencias_humanas_geral,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h12_filosofia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h12_historia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h12_sociologia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h13_historia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h13_sociologia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h14_filosofia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h14_geografia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h14_historia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h15_ciencias_humanas_geral,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h15_filosofia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h15_geografia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h15_historia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h15_sociologia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h16_sociologia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h18_filosofia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h18_geografia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h19_geografia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h19_sociologia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h1_historia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h1_sociologia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h20_ciencias_humanas_geral,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h20_filosofia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h20_historia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h20_sociologia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h21_geografia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h21_historia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h21_sociologia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h22_sociologia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h23_filosofia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h23_historia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h23_sociologia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h24_filosofia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h24_sociologia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h25_sociologia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h26_sociologia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h27_ciencias_humanas_geral,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h27_filosofia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h27_geografia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h29_geografia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h29_sociologia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h2_sociologia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h30_historia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h4_historia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h5_historia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h5_sociologia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h6_filosofia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h6_geografia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h7_ciencias_humanas_geral,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h8_ciencias_humanas_geral,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h8_filosofia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h8_geografia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h8_sociologia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h9_geografia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h9_historia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_h9_sociologia,geral_leitura_comando,0.6,leitura_comando_suporte
ch_tema_ciencias_humanas_geral_tema_geral,ch_h10_ciencias_humanas_geral,0.4,tema_relacionado_habilidade
ch_tema_ciencias_humanas_geral_tema_geral,ch_h11_ciencias_humanas_geral,0.4,tema_relacionado_habilidade
ch_tema_ciencias_humanas_geral_tema_geral,ch_h12_ciencias_humanas_geral,0.4,tema_relacionado_habilidade
ch_tema_ciencias_humanas_geral_tema_geral,ch_h15_ciencias_humanas_geral,0.4,tema_relacionado_habilidade
ch_tema_ciencias_humanas_geral_tema_geral,ch_h20_ciencias_humanas_geral,0.4,tema_relacionado_habilidade
ch_tema_ciencias_humanas_geral_tema_geral,ch_h27_ciencias_humanas_geral,0.4,tema_relacionado_habilidade
ch_tema_ciencias_humanas_geral_tema_geral,ch_h7_ciencias_humanas_geral,0.4,tema_relacionado_habilidade
ch_tema_ciencias_humanas_geral_tema_geral,ch_h8_ciencias_humanas_geral,0.4,tema_relacionado_habilidade
ch_tema_ciencias_humanas_geral_tema_geral,geral_leitura_comando,0.5,interpretação_de_texto_base
ch_tema_filosofia_etica_e_politica,ch_h12_filosofia,0.4,tema_relacionado_habilidade
ch_tema_filosofia_etica_e_politica,ch_h14_filosofia,0.4,tema_relacionado_habilidade
ch_tema_filosofia_etica_e_politica,ch_h15_filosofia,0.4,tema_relacionado_habilidade
ch_tema_filosofia_etica_e_politica,ch_h18_filosofia,0.4,tema_relacionado_habilidade
ch_tema_filosofia_etica_e_politica,ch_h20_filosofia,0.4,tema_relacionado_habilidade
ch_tema_filosofia_etica_e_politica,ch_h23_filosofia,0.4,tema_relacionado_habilidade
ch_tema_filosofia_etica_e_politica,ch_h24_filosofia,0.4,tema_relacionado_habilidade
ch_tema_filosofia_etica_e_politica,ch_h27_filosofia,0.4,tema_relacionado_habilidade
ch_tema_filosofia_etica_e_politica,ch_h6_filosofia,0.4,tema_relacionado_habilidade
ch_tema_filosofia_etica_e_politica,ch_h8_filosofia,0.4,tema_relacionado_habilidade
ch_tema_filosofia_etica_e_politica,geral_leitura_comando,0.5,interpretação_de_texto_base
ch_tema_filosofia_tema_geral,ch_h11_filosofia,0.4,tema_relacionado_habilidade
ch_tema_filosofia_tema_geral,ch_h23_filosofia,0.4,tema_relacionado_habilidade
ch_tema_filosofia_tema_geral,ch_h27_filosofia,0.4,tema_relacionado_habilidade
ch_tema_filosofia_tema_geral,geral_leitura_comando,0.5,interpretação_de_texto_base
ch_tema_filosofia_teoria_do_conhecimento,ch_h11_filosofia,0.4,tema_relacionado_habilidade
ch_tema_filosofia_teoria_do_conhecimento,ch_h14_filosofia,0.4,tema_relacionado_habilidade
ch_tema_filosofia_teoria_do_conhecimento,ch_h15_filosofia,0.4,tema_relacionado_habilidade
ch_tema_filosofia_teoria_do_conhecimento,geral_leitura_comando,0.5,interpretação_de_texto_base
ch_tema_geografia_geografia_fisica,ch_h15_geografia,0.4,tema_relacionado_habilidade
ch_tema_geografia_geografia_fisica,ch_h18_geografia,0.4,tema_relacionado_habilidade
ch_tema_geografia_geografia_fisica,ch_h21_geografia,0.4,tema_relacionado_habilidade
ch_tema_geografia_geografia_fisica,ch_h27_geografia,0.4,tema_relacionado_habilidade
ch_tema_geografia_geografia_fisica,ch_h29_geografia,0.4,tema_relacionado_habilidade
ch_tema_geografia_geografia_fisica,ch_h8_geografia,0.4,tema_relacionado_habilidade
ch_tema_geografia_geografia_fisica,ch_h9_geografia,0.4,tema_relacionado_habilidade
ch_tema_geografia_geografia_fisica,geral_leitura_comando,0.5,interpretação_de_texto_base
ch_tema_geografia_geografia_humana,ch_h15_geografia,0.4,tema_relacionado_habilidade
ch_tema_geografia_geografia_humana,ch_h19_geografia,0.4,tema_relacionado_habilidade
ch_tema_geografia_geografia_humana,ch_h8_geografia,0.4,tema_relacionado_habilidade
ch_tema_geografia_geografia_humana,geral_leitura_comando,0.5,interpretação_de_texto_base
ch_tema_geografia_geopolitica,ch_h11_geografia,0.4,tema_relacionado_habilidade
ch_tema_geografia_geopolitica,ch_h14_geografia,0.4,tema_relacionado_habilidade
ch_tema_geografia_geopolitica,ch_h6_geografia,0.4,tema_relacionado_habilidade
ch_tema_geografia_geopolitica,ch_h8_geografia,0.4,tema_relacionado_habilidade
ch_tema_geografia_geopolitica,ch_h9_geografia,0.4,tema_relacionado_habilidade
ch_tema_geografia_geopolitica,geral_leitura_comando,0.5,interpretação_de_texto_base
ch_tema_geografia_tema_geral,ch_h27_geografia,0.4,tema_relacionado_habilidade
ch_tema_geografia_tema_geral,geral_leitura_comando,0.5,interpretação_de_texto_base
ch_tema_historia_historia_cultural,ch_h5_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_historia_cultural,geral_leitura_comando,0.5,interpretação_de_texto_base
ch_tema_historia_historia_do_brasil,ch_h11_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_historia_do_brasil,ch_h12_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_historia_do_brasil,ch_h14_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_historia_do_brasil,ch_h15_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_historia_do_brasil,ch_h1_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_historia_do_brasil,ch_h20_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_historia_do_brasil,ch_h23_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_historia_do_brasil,ch_h5_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_historia_do_brasil,ch_h9_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_historia_do_brasil,geral_leitura_comando,0.5,interpretação_de_texto_base
ch_tema_historia_historia_geral,ch_h11_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_historia_geral,ch_h12_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_historia_geral,ch_h13_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_historia_geral,ch_h14_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_historia_geral,ch_h15_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_historia_geral,ch_h21_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_historia_geral,ch_h23_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_historia_geral,ch_h30_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_historia_geral,ch_h4_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_historia_geral,geral_leitura_comando,0.5,interpretação_de_texto_base
ch_tema_historia_tema_geral,ch_h11_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_tema_geral,ch_h14_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_tema_geral,ch_h15_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_tema_geral,ch_h1_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_tema_geral,ch_h20_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_tema_geral,ch_h21_historia,0.4,tema_relacionado_habilidade
ch_tema_historia_tema_geral,geral_leitura_comando,0.5,interpretação_de_texto_base
ch_tema_sociologia_cidadania_e_trabalho,ch_h10_sociologia,0.4,tema_relacionado_habilidade
ch_tema_sociologia_cidadania_e_trabalho,ch_h12_sociologia,0.4,tema_relacionado_habilidade
ch_tema_sociologia_cidadania_e_trabalho,ch_h16_sociologia,0.4,tema_relacionado_habilidade
ch_tema_sociologia_cidadania_e_trabalho,ch_h20_sociologia,0.4,tema_relacionado_habilidade
ch_tema_sociologia_cidadania_e_trabalho,ch_h22_sociologia,0.4,tema_relacionado_habilidade
ch_tema_sociologia_cidadania_e_trabalho,ch_h24_sociologia,0.4,tema_relacionado_habilidade
ch_tema_sociologia_cidadania_e_trabalho,ch_h9_sociologia,0.4,tema_relacionado_habilidade
ch_tema_sociologia_cidadania_e_trabalho,geral_leitura_comando,0.5,interpretação_de_texto_base
ch_tema_sociologia_cultura_e_identidade,ch_h15_sociologia,0.4,tema_relacionado_habilidade
