concept_id,base_weight,reason
ch_h10_ciencias_humanas_geral,1.1,habilidade_enem
ch_h10_sociologia,1.1,habilidade_enem
ch_h11_ciencias_humanas_geral,1.1,habilidade_enem
ch_h11_filosofia,1.1,habilidade_enem
ch_h11_geografia,1.1,habilidade_enem
ch_h11_historia,1.1,habilidade_enem
ch_h12_ciencias_humanas_geral,1.1,habilidade_enem
ch_h12_filosofia,1.1,habilidade_enem
ch_h12_historia,1.1,habilidade_enem
ch_h12_sociologia,1.1,habilidade_enem
ch_h13_historia,1.1,habilidade_enem
ch_h13_sociologia,1.1,habilidade_enem
ch_h14_filosofia,1.1,habilidade_enem
ch_h14_geografia,1.1,habilidade_enem
ch_h14_historia,1.1,habilidade_enem
ch_h15_ciencias_humanas_geral,1.1,habilidade_enem
ch_h15_filosofia,1.1,habilidade_enem
ch_h15_geografia,1.1,habilidade_enem
ch_h15_historia,1.1,habilidade_enem
ch_h15_sociologia,1.1,habilidade_enem
ch_h16_sociologia,1.1,habilidade_enem
ch_h18_filosofia,1.1,habilidade_enem
ch_h18_geografia,1.1,habilidade_enem
ch_h19_geografia,1.1,habilidade_enem
ch_h19_sociologia,1.1,habilidade_enem
ch_h1_historia,1.1,habilidade_enem
ch_h1_sociologia,1.1,habilidade_enem
ch_h20_ciencias_humanas_geral,1.1,habilidade_enem
ch_h20_filosofia,1.1,habilidade_enem
ch_h20_historia,1.1,habilidade_enem
ch_h20_sociologia,1.1,habilidade_enem
ch_h21_geografia,1.1,habilidade_enem
ch_h21_historia,1.1,habilidade_enem
ch_h21_sociologia,1.1,habilidade_enem
ch_h22_sociologia,1.1,habilidade_enem
ch_h23_filosofia,1.1,habilidade_enem
ch_h23_historia,1.1,habilidade_enem
ch_h23_sociologia,1.1,habilidade_enem
ch_h24_filosofia,1.1,habilidade_enem
ch_h24_sociologia,1.1,habilidade_enem
ch_h25_sociologia,1.1,habilidade_enem
ch_h26_sociologia,1.1,habilidade_enem
ch_h27_ciencias_humanas_geral,1.1,habilidade_enem
ch_h27_filosofia,1.1,habilidade_enem
ch_h27_geografia,1.1,habilidade_enem
ch_h29_geografia,1.1,habilidade_enem
ch_h29_sociologia,1.1,habilidade_enem
ch_h2_sociologia,1.1,habilidade_enem
ch_h30_historia,1.1,habilidade_enem
ch_h4_historia,1.1,habilidade_enem
ch_h5_historia,1.1,habilidade_enem
ch_h5_sociologia,1.1,habilidade_enem
ch_h6_filosofia,1.1,habilidade_enem
ch_h6_geografia,1.1,habilidade_enem
ch_h7_ciencias_humanas_geral,1.1,habilidade_enem
ch_h8_ciencias_humanas_geral,1.1,habilidade_enem
ch_h8_filosofia,1.1,habilidade_enem
ch_h8_geografia,1.1,habilidade_enem
ch_h8_sociologia,1.1,habilidade_enem
ch_h9_geografia,1.1,habilidade_enem
ch_h9_historia,1.1,habilidade_enem
ch_h9_sociologia,1.1,habilidade_enem
ch_tema_ciencias_humanas_geral_tema_geral,1.0,tema_disciplinar
ch_tema_filosofia_etica_e_politica,1.0,tema_disciplinar
ch_tema_filosofia_tema_geral,1.0,tema_disciplinar
ch_tema_filosofia_teoria_do_conhecimento,1.0,tema_disciplinar
ch_tema_geografia_geografia_fisica,1.0,tema_disciplinar
ch_tema_geografia_geografia_humana,1.0,tema_disciplinar
ch_tema_geografia_geopolitica,1.0,tema_disciplinar
ch_tema_geografia_tema_geral,1.0,tema_disciplinar
ch_tema_historia_historia_cultural,1.0,tema_disciplinar
ch_tema_historia_historia_do_brasil,1.0,tema_disciplinar
ch_tema_historia_historia_geral,1.0,tema_disciplinar
ch_tema_historia_tema_geral,1.0,tema_disciplinar
ch_tema_sociologia_cidadania_e_trabalho,1.0,tema_disciplinar
ch_tema_sociologia_cultura_e_identidade,1.0,tema_disciplinar
ch_tema_sociologia_estrutura_social,1.0,tema_disciplinar
ch_tema_sociologia_tema_geral,1.0,tema_disciplinar
geral_leitura_comando,1.5,fundacional_transversal
