id,label,area,difficulty,type
ch_h10_ciencias_humanas_geral,H10 em Ciências Humanas (geral),Ciências Humanas,basico,habilidade
ch_h10_sociologia,H10 em Sociologia,Ciências Humanas,intermediario,habilidade
ch_h11_ciencias_humanas_geral,H11 em Ciências Humanas (geral),Ciências Humanas,basico,habilidade
ch_h11_filosofia,H11 em Filosofia,Ciências Humanas,basico,habilidade
ch_h11_geografia,H11 em Geografia,Ciências Humanas,intermediario,habilidade
ch_h11_historia,H11 em História,Ciências Humanas,basico,habilidade
ch_h12_ciencias_humanas_geral,H12 em Ciências Humanas (geral),Ciências Humanas,basico,habilidade
ch_h12_filosofia,H12 em Filosofia,Ciências Humanas,intermediario,habilidade
ch_h12_historia,H12 em História,Ciências Humanas,basico,habilidade
ch_h12_sociologia,H12 em Sociologia,Ciências Humanas,intermediario,habilidade
ch_h13_historia,H13 em História,Ciências Humanas,basico,habilidade
ch_h13_sociologia,H13 em Sociologia,Ciências Humanas,basico,habilidade
ch_h14_filosofia,H14 em Filosofia,Ciências Humanas,intermediario,habilidade
ch_h14_geografia,H14 em Geografia,Ciências Humanas,basico,habilidade
ch_h14_historia,H14 em História,Ciências Humanas,intermediario,habilidade
ch_h15_ciencias_humanas_geral,H15 em Ciências Humanas (geral),Ciências Humanas,basico,habilidade
ch_h15_filosofia,H15 em Filosofia,Ciências Humanas,intermediario,habilidade
ch_h15_geografia,H15 em Geografia,Ciências Humanas,intermediario,habilidade
ch_h15_historia,H15 em História,Ciências Humanas,basico,habilidade
ch_h15_sociologia,H15 em Sociologia,Ciências Humanas,basico,habilidade
ch_h16_sociologia,H16 em Sociologia,Ciências Humanas,basico,habilidade
ch_h18_filosofia,H18 em Filosofia,Ciências Humanas,basico,habilidade
ch_h18_geografia,H18 em Geografia,Ciências Humanas,intermediario,habilidade
ch_h19_geografia,H19 em Geografia,Ciências Humanas,intermediario,habilidade
ch_h19_sociologia,H19 em Sociologia,Ciências Humanas,intermediario,habilidade
ch_h1_historia,H1 em História,Ciências Humanas,basico,habilidade
ch_h1_sociologia,H1 em Sociologia,Ciências Humanas,basico,habilidade
